route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,jp_trip_desc,jp_trip_desc_symbol,jp_office_id
dentetsu_1_1081_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000670_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1081_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000080_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000153_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000214_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000083_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000094_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000134_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000087_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000277_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000223_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000258_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000157_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000079_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000090_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000176_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_2_20260314,dentetsu_2_201000152_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_2_20260314,dentetsu_2_201000239_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_2_20260314,dentetsu_2_201000017_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_2_20260314,dentetsu_2_201000127_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_2_20260314,dentetsu_2_201000209_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_2_20260314,dentetsu_2_201000080_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_2_20260314,dentetsu_2_201000111_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_2_20260314,dentetsu_2_201000140_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_2_20260314,dentetsu_2_201000211_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_2_20260314,dentetsu_2_201000119_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_2_20260314,dentetsu_2_201000007_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_3_20260314,dentetsu_3_301000136_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_3_20260314,dentetsu_3_301000144_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_3_20260314,dentetsu_3_301000123_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_3_20260314,dentetsu_3_301000138_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_3_20260314,dentetsu_3_301000118_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_3_20260314,dentetsu_3_301000146_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_3_20260314,dentetsu_3_301000125_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_3_20260314,dentetsu_3_301000134_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_3_20260314,dentetsu_3_301000092_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_3_20260314,dentetsu_3_301000166_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_3_20260314,dentetsu_3_301000082_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_4_20260314,dentetsu_4_401000153_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_4_20260314,dentetsu_4_401000214_20260314,蓮台寺入口,,,,,,,1
